respondent_id,Do you consider yourself to be an older adult?,I have heard _______________ about age discrimination.,In recent years I have been discriminated against or treated more negatively by others because of my older age.,In recent years I have avoided certain social settings out of concern that I might be treated negatively because of my age.,Age discrimination is too often excused.,Age discrimination is a major problem in our society.,I have had experiences with age discrimination that have caused me mental or emotional stress.,Age discrimination is taken too seriously.,Have you or anyone you know ever seen or been the target of discrimination in the workplace based on older age?,Have you or anyone you know ever seen or been the target of discrimination based on older age while applying or interviewing for jobs?,Have you or anyone you know ever seen discriminatory depictions of older age in product marketing or advertisements?,Have you or anyone you know ever seen discriminatory depictions of older age in television shows or movies?,How acceptable do you believe it is for organizations to use age-related information in algorithms to show you targeted ads for products and services?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review employment applications?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review applications for social services?,Have you ever been aware of an automated algorithm used to review an application of yours for a job or employment?,Have you ever been aware of an automated algorithm used to present you with a product advertisement?,Have you ever been aware of an automated algorithm used to review an application of yours for a public or social service?
R_UN5DWMIfMG50LcZ,No,Nothing,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_20YSpEujr4C8i6I,Yes,A little,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,Yes,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_3LefVPsILBOVi9Q,Yes,Nothing,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_1OSIjZASflMEDF3,Yes,A little,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,Yes,No,No
R_WjkSfPFIlIqxmEh,Yes,A great deal,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3kazvt5lavD3IVR,Yes,A great deal,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,Yes
R_6YfnHmm4kJ4ipgt,Yes,A little,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,Yes,Yes,No
R_2wphb4G5yoyvHwi,Yes,A little,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,No,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_ZkLF08GuOWb6wlr,Yes,Some,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_AzIEQdCfgPCXGFP,Yes,A little,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,No,No,No,Yes,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,No,Yes
R_2trpFzndsfKnQ7z,Yes,Some,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,No,No,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_tPtq07gf7qHX0n7,Yes,A great deal,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,Yes,Very acceptable,Somewhat acceptable,Not at all acceptable,No,Yes,No
R_ym6wKv6olwdIRgd,No,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,No
R_2WZGXdVNmH1FQdD,Yes,A great deal,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,Yes,No,Yes,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,No,Yes
R_BVY7yPti01Hzrr3,Yes,A great deal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,Yes,No,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_2q9JNU9bl0z6qaY,Yes,A great deal,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_123TfmxJ21dOVzE,Yes,A great deal,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_71AiXwNbN6rYGch,Yes,Some,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_1rHOa3UG1jf3rGR,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,No,Yes,No,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,Yes
R_ezc20fHioUBM6Hv,Yes,Some,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_3PcMi4Z7EwTko3j,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Yes,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2uKCItQYjkS62Lf,Yes,Some,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_12yfrKcM2nKq4Qt,Yes,Some,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_3lxHk3pVvThxJfP,Yes,Some,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Yes,Yes,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,No
R_3CneVj2VLtDPQ8V,Yes,Some,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_2cCKt8wuD7cb0s2,Yes,Some,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Yes,Yes,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3JnkpxERMQ8qNJj,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,Yes,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,Yes,Yes,Yes
R_A0t8E567giuU0p3,Yes,A great deal,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,Yes
R_w1ycD7NB1Eqwfsd,Yes,A little,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Yes,Yes,No,No,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_3fDZpG1l1x60cez,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2AFqOYq7BriHOxj,Yes,A little,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_1GTTynTKLq4ZvgV,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3m9Jp7m3gJAYkhy,Yes,Some,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,Yes,Yes,Not very acceptable,Somewhat acceptable,Not very acceptable,No,No,No
R_1hNnikMASP6Sgzc,Yes,A little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_u3ViacnKHECvJzr,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not at all acceptable,No,Yes,No
R_1pEBTfqm44Sqqtw,No,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_20qoaxxCKfKKxMZ,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_8waVLA66bwuBIWZ,Yes,A little,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_xxSXFjbRFERh7UZ,Yes,A great deal,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_eVi5eqKCsvsq2T7,Yes,Some,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Very acceptable,No,No,No
R_3smKsoacxwydEFo,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,No,Yes,No,No,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_3lJIRrCvJhqToAv,Yes,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_3hbtVowoIVoUgRP,Yes,A little,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_3PcvhL4yAe6A6ER,Yes,Some,Strongly agree,Strongly disagree,Strongly Agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,No,No,Not very acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,No
R_1r3cArA6n0ECKtz,Yes,A little,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,No,No,No,No,Not very acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,No
R_1IYOkWFpGyQnsa7,Yes,A great deal,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_6S74xnaTiUEi4H7,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_PY5z1wgICWptHIR,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_1lgxnxirsq3ZV1l,Yes,A great deal,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_9vpUD5kY83R7n5D,Yes,A little,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_b30tBZvrx34nDJ7,Yes,A little,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,Yes
R_2cqR1Znnv45FzDH,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Yes,No,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_tEhFFVsUeQtxIB3,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_1OHWFrsCj3prRTm,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2rql4Xmz56iTXtH,Yes,Nothing,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Very acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_bCyEbKDcCnAWHzX,Yes,A little,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2EF3vKUtta1FtIp,Yes,Nothing,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Yes,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_30v3MUFNicNhmO1,Yes,Some,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_2eVXbf8y0crxGH9,No,A great deal,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,Yes,Yes,Yes,Not at all acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,No
R_2R9zT2ymMmeHtAT,Yes,Some,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,No,Yes,No,Yes,Very acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_3kufZ8db49kuIec,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3qQzmWsCSq4FPj0,Yes,A great deal,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Yes,Yes,No,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_O23zOheOKtaTSbD,Yes,Some,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Not very acceptable,Yes,Yes,Yes
R_2PmT05R99yUK8s5,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_SOFQGnRKl5vtXEJ,Yes,Some,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,Yes,Yes,Yes,Not at all acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3P7yIFvAhHMyMZn,Yes,Some,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_1obhRNo9o9eaMVw,Yes,A great deal,Strongly disagree,Strongly disagree,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,Yes,Yes,Not very acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_yQpubOmQQF96FY5,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,No,Yes,No,No,Very acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_24kpW928qVLOCKG,Yes,Some,Strongly disagree,Somewhat disagree,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,Yes,No
R_21gHrMaGSxvPj71,Yes,Some,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_1gOzPEVw8L2rKF4,Yes,Nothing,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,No,No,Yes,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1JE2IMv2KDCMBzx,Yes,Some,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Yes,Yes,Yes,No,Not at all acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_22Q7TTMyjdPsu4h,No,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,Yes,Not very acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_W6cIcalT4jUbML7,Yes,Some,Somewhat agree,Somewhat disagree,Strongly Agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_28AFvTe0P90mFmG,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,No,Yes,No,No,Very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_2tEazbCbPwn2j6d,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_rflNXcg0hkSLFO9,Yes,Some,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_3psQT5FTQpQoh8U,Yes,A great deal,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Yes,No,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_2RaFUfoertrN04R,Yes,Some,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,No,No,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_UoHRdb6K7s4foxb,Yes,Some,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,Yes,Not very acceptable,Not at all acceptable,Very acceptable,No,No,No
R_We7klFD4NYEooaB,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,No,No,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_8pqbVZx3S9fg9ZT,Yes,A great deal,Somewhat agree,Neither agree nor disagree,Strongly Agree,Somewhat agree,Somewhat disagree,Strongly disagree,No,Yes,No,Yes,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_1oA5XiYKWcuKTD1,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Not very acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_32P9L12JNcVS1YA,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_1fmheOVneaDaf2n,Yes,A great deal,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,Yes
R_z9kJix2DRtaoEo1,Yes,A great deal,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,No,Yes,No,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,Yes,Yes,Yes
R_3PujAOwoE0IWSvi,Yes,A little,Strongly disagree,Neither agree nor disagree,Strongly Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
